SKUID,SKUPARTNUMBER,SKUFRIENDLYNAME
45BC2C81-6072-436A-9B0B-3B12EEFBC402,POWER_BI_ADDON,POWER BI FOR OFFICE 365 ADD-ON
F8A1DB68-BE16-40ED-86D5-CB42CE701560,POWER_BI_PRO,POWER BI PRO
A10D5E58-74DA-4312-95C8-76BE4E5B75A0,PROJECTCLIENT,PROJECT FOR OFFICE 365
776DF282-9FC0-4862-99E2-70E561B9909E,PROJECTESSENTIALS,PROJECT ONLINE ESSENTIALS
09015F9F-377F-4538-BBB5-F75CEB09358A,PROJECTPREMIUM,PROJECT ONLINE PREMIUM
2DB84718-652C-47A7-860C-F10D8ABBDAE3,PROJECTONLINE_PLAN_1,PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT
53818B1B-4A27-454B-8896-0DBA576410E6,PROJECTPROFESSIONAL,PROJECT ONLINE PROFESSIONAL
F82A60B8-1EE3-4CFB-A4FE-1C6A53C2656C,PROJECTONLINE_PLAN_2,PROJECT ONLINE WITH PROJECT FOR OFFICE 365
1FC08A02-8B3D-43B9-831E-F76859E04E1A,SHAREPOINTSTANDARD,SHAREPOINT ONLINE (PLAN 1)
A9732EC9-17D9-494C-A51C-D6B45B384DCB,SHAREPOINTENTERPRISE,SHAREPOINT ONLINE (PLAN 2)
E43B5B99-8DFB-405F-9987-DC307F34BCBD,MCOEV,PHONE SYSTEM
B8B749F8-A4EF-4887-9539-C95B1EAA5DB7,MCOIMP,SKYPE FOR BUSINESS ONLINE (PLAN 1)
D42C793F-6C78-4F43-92CA-E8F6A02B035F,MCOSTANDARD,SKYPE FOR BUSINESS ONLINE (PLAN 2)
D3B4FE1F-9992-4930-8ACB-CA6EC609365E,MCOPSTN2,SKYPE FOR BUSINESS PSTN DOMESTIC AND INTERNATIONAL CALLING
0DAB259F-BF13-4952-B7F8-7DB8F131B28D,MCOPSTN1,SKYPE FOR BUSINESS PSTN DOMESTIC CALLING
4B244418-9658-4451-A2B8-B5E2B364E9BD,VISIOONLINE_PLAN1,VISIO ONLINE PLAN 1
C5928F49-12BA-48F7-ADA3-0D743A3601D5,VISIOCLIENT,VISIO ONLINE PLAN 2
CB10E6CD-9DA4-4992-867B-67546B1DB821,WIN10_PRO_ENT_SUB,WINDOWS 10 ENTERPRISE E3
61E6BD70-FBDB-4DEB-82EA-912842F39431,DYN365_AI_SERVICE_INSIGHTS,DYNAMICS 365 CUSTOMER SERVICE INSIGHTS TRIAL
6470687E-A428-4B7A-BEF2-8A291AD947C9,WINDOWS_STORE,WINDOWS STORE
F30DB892-07E9-47E9-837C-80727F46FD3D,FLOW_FREE,MICROSOFT FLOW FREE
BC946DAC-7877-4271-B2F7-99D2DB13CD2C,FORMS_PRO,FORMS PRO TRIAL
DCB1A3AE-B33F-4487-846A-A640262FADF4,POWERAPPS_VIRAL,MICROSOFT POWERAPPS PLAN 2 TRIAL
338148B6-1B11-4102-AFB9-F92B6CDC0F8D,DYN365_ENTERPRISE_P1_IW,DYNAMICS 365 P1 TRIAL FOR INFORMATION WORKERS
74FBF1BB-47C6-4796-9623-77DC7371723B,MS_TEAMS_IW,MICROSOFT TEAMS TRIAL
B56E7CCC-D5C7-421F-A23B-5C18BDBAD7C0,DYNAMICS_365_ONBOARDING_SKU,DYNAMICS 365 FOR TALENT: ONBOARD
A403EBCC-FAE0-4CA2-8C8C-7A907FD6C235,POWER_BI_STANDARD,POWER BI (FREE)
06EBC4EE-1BB5-47DD-8120-11324BC54E06,SPE_E5,MICROSOFT 365 E5
29A2F828-8F39-4837-B8FF-C957E86ABE3C,TEAMS_COMMERCIAL_TRIAL,MICROSOFT TEAMS COMMERCIAL CLOUD (USER INITIATED)
4EF96642-F096-40DE-A3E9-D83FB2F90211,ATP_ENTERPRISE,OFFICE 365 ADVANCED THREAT PROTECTION (PLAN 1)
1F2F344A-700D-42C9-9427-5CEA1D5D7BA6,STREAM,MICROSOFT STREAM TRIAL
4755DF59-3F73-41AB-A249-596AD72B5504,FLOW_P2,MICROSOFT FLOW PLAN 2
87BBBC60-4754-4998-8C88-227DCA264858,POWERAPPS_INDIVIDUAL_USER,MICROSOFT POWERAPPS AND LOGIC FLOWS
8F0C5670-4E56-4892-B06D-91C085D7004F,SPZA_IW,APP CONNECT
7AC9FE77-66B7-4E5E-9E46-10EED1CFF547,DYN365_TEAM_MEMBERS,DYNAMICS 365 TEAM MEMBERS
726A0894-2C77-4D65-99DA-9775EF05AAD1,MICROSOFT_BUSINESS_CENTER,MICROSOFT BUSINESS CENTER
4F05B1A3-A978-462C-B93F-781C6BEE998F,DYN365_ ENTERPRISE _RELATIONSHIP_SALES,MICROSOFT RELATIONSHIP SALES SOLUTION
606B54A9-78D8-4298-AD8B-DF6EF4481C80,CCIBOTS_PRIVPREV_VIRAL,DYNAMICS 365 AI FOR CUSTOMER SERVICE VIRTUAL AGENTS VIRAL SKU
CBD692DF-063A-4283-AC18-C84276ECE5FF,MCOPSTNEAU,TELSTRA CALLING FOR OFFICE 365
DE3312E1-C7B0-46E6-A7C3-A515FF90BC86,MCOPSTNEAU2,TELSTRA CALLING FOR OFFICE 365 2
BD265CE3-7035-41F7-9417-6B49B27AAEBC,MMD_CORE_ITAAS,MICROSOFT MANAGED DESKTOP CORE ITAAS
DDFAE3E3-FCB2-4174-8EBD-3023CB213C8B,POWERFLOW_P2,MICROSOFT POWERAPPS PLAN 2
E561871F-74FA-4F02-ABEE-5B0EF54DD36D,DYNAMICS_365_HIRING_SKU,DYNAMICS 365 FOR TALENT: ATTRACT
6A4A1628-9B9A-424D-BED5-4118F0EDE3FD,PROJECT_MADEIRA_PREVIEW_IW_SKU,DYNAMICS 365 BUSINESS CENTRAL FOR IWS
8C4CE438-32A7-4AC5-91A6-E22AE08D9C8B,RIGHTSMANAGEMENT_ADHOC,RIGHTS MANAGEMENT ADHOC
5F95273A-F9EC-4CEA-8C12-017EBA988B11,MMD_SUPPORT,MICROSOFT MANAGED DESKTOP END-USER SUPPORT
